pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo,zone_pct,contact_pct,exit_velo
434378,FF,4-Seam FB,Fastball,115,0.5088495575221239,0.2,0.10526315789473684,93.32260869565218,0.5391304347826087,0.8,87.4046511627907
434378,SL,Slider,Breaking,46,0.20353982300884957,0.3793103448275862,0.38461538461538464,87.39565217391304,0.3695652173913043,0.6206896551724138,82.66470588235295
434378,CU,Curveball,Breaking,31,0.13716814159292035,0.16666666666666666,0.2,78.16774193548386,0.45161290322580644,0.8333333333333334,91.42500000000001
445276,FC,Cutter,Fastball,527,0.8365079365079365,0.25,0.22727272727272727,92.46944971537,0.4838709677419355,0.75,81.36521739130436
445276,SL,Slider,Breaking,58,0.09206349206349207,0.3,0.3157894736842105,84.13275862068966,0.4482758620689655,0.7,77.965
445276,SI,Sinker,Fastball,45,0.07142857142857142,0.3076923076923077,0.3333333333333333,93.65777777777778,0.4888888888888889,0.6923076923076923,86.70588235294116
453286,FF,4-Seam FB,Fastball,472,0.4729458917835671,0.14345991561181434,0.07692307692307693,93.24343220338982,0.5360169491525424,0.8565400843881856,80.99162303664922
453286,SL,Slider,Breaking,187,0.187374749498998,0.2,0.17857142857142858,85.68395721925134,0.48128342245989303,0.8,80.92716049382716
453286,CH,Changeup,Offspeed,161,0.16132264529058116,0.17105263157894737,0.15789473684210525,84.1496894409938,0.391304347826087,0.8289473684210527,79.06349206349206
453286,CU,Curveball,Breaking,134,0.1342685370741483,0.3157894736842105,0.28,75.10671641791045,0.3880597014925373,0.6842105263157895,78.61621621621622
453286,FC,Cutter,Fastball,44,0.04408817635270541,0.24,0.0,88.27272727272728,0.2727272727272727,0.76,82.79375000000002
455119,FC,Cutter,Fastball,118,0.4097222222222222,0.2542372881355932,0.1875,91.37033898305086,0.6186440677966102,0.7457627118644068,83.33863636363637
455119,FF,4-Seam FB,Fastball,76,0.2638888888888889,0.21951219512195122,0.15789473684210525,94.43815789473685,0.5394736842105263,0.7804878048780488,85.95
455119,SI,Sinker,Fastball,33,0.11458333333333333,0.05263157894736842,0.0,93.87272727272727,0.3939393939393939,0.9473684210526316,75.61764705882354
455119,FS,Splitter,Offspeed,32,0.1111111111111111,0.15,0.25,87.734375,0.5625,0.85,86.28125
471911,CH,Changeup,Offspeed,76,0.3089430894308943,0.21428571428571427,0.11764705882352941,85.72894736842106,0.3815789473684211,0.7857142857142857,77.21290322580644
471911,SI,Sinker,Fastball,67,0.27235772357723576,0.13333333333333333,0.14285714285714285,90.82089552238804,0.44776119402985076,0.8666666666666667,85.25909090909092
471911,FC,Cutter,Fastball,38,0.15447154471544716,0.1,0.0,89.47368421052632,0.47368421052631576,0.9,82.48823529411766
471911,SL,Slider,Breaking,34,0.13821138211382114,0.32,0.42857142857142855,86.23235294117647,0.47058823529411764,0.6799999999999999,79.19999999999999
471911,FF,4-Seam FB,Fastball,31,0.12601626016260162,0.15,0.0,91.76129032258065,0.5806451612903226,0.85,83.2375
472610,SI,Sinker,Fastball,135,0.47038327526132406,0.08695652173913043,0.14285714285714285,94.88148148148149,0.6370370370370371,0.9130434782608696,84.9672131147541
472610,FS,Splitter,Offspeed,83,0.289198606271777,0.34146341463414637,0.16666666666666666,87.61445783132531,0.26506024096385544,0.6585365853658536,70.64545454545454
472610,ST,Sweeper,Breaking,64,0.2229965156794425,0.3142857142857143,0.07692307692307693,81.81562499999998,0.390625,0.6857142857142857,76.25
476594,FC,Cutter,Fastball,128,0.31683168316831684,0.1896551724137931,0.11764705882352941,91.09765625,0.5390625,0.8103448275862069,81.02000000000001
476594,FF,4-Seam FB,Fastball,107,0.26485148514851486,0.296875,0.2631578947368421,95.76261682242989,0.5327102803738317,0.703125,79.4860465116279
476594,SI,Sinker,Fastball,82,0.20297029702970298,0.14705882352941177,0.0,93.83048780487805,0.47560975609756095,0.8529411764705882,77.56800000000001
476594,ST,Sweeper,Breaking,46,0.11386138613861387,0.2,0.0,80.73478260869564,0.45652173913043476,0.8,87.88333333333334
476594,CH,Changeup,Offspeed,38,0.09405940594059406,0.45,0.4444444444444444,81.10789473684211,0.2631578947368421,0.55,77.74545454545454
