player_id,season,player,position,team,conference,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4832038,2026,A'Khoury Lyde,CB,West Florida,UAC,0.0,0.0,0.0,1.0,1.0,0.0,2.0,,,,44.0,1.0,1.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4833613,2026,Joshua Wiggins,CB,Houston Christian,Southland,1.0,1.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4837195,2026,Luca Stanzani,QB,Long Island University,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,12.0,0.0,0.75,1.0,173.0,10.8,,,,,,,,,,,,,,,,,8.0,6.0,1.0,3.0,0.4
4837273,2026,Jeremiah McGill,DB,Maine,Coastal Athletic,0.0,0.0,0.0,6.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4837350,2026,Bakari Edwards,LB,St. Thomas (MN),Pioneer,0.0,0.0,0.5,0.0,0.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4837382,2026,Montrell Henderson,DT,Chattanooga,Southern,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4869609,2026,Josiah Wyatt,DL,Charleston Southern,OVC,0.0,0.0,0.0,2.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4869735,2026,Roger Walters,WR,Youngstown State,MVFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,1.0,0.0,19.0,,,,,,,7.0,1.0,0.0,7.0,7.0,,,,,
4869817,2026,Cole Pennington,QB,Gardner-Webb,OVC,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,27.0,1.0,0.551,1.0,312.0,6.4,,,,,,,,,,,,,,,,,7.0,5.0,0.0,-3.0,-0.4
4870406,2026,Quan Peterson,DB,Austin Peay,UAC,2.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4870740,2026,Troy Ford Jr.,LB,West Florida,UAC,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4870791,2026,Lynard Harris,DB,Nicholls,Southland,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4870798,2026,Malik Leverett,WR,West Georgia,UAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,4.0,2.0,,,,,
4870889,2026,Chris Parson,QB,Austin Peay,UAC,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,14.0,1.0,0.667,1.0,308.0,14.7,,,,,,,,,,,,,,,,,12.0,17.0,1.0,31.0,2.6
4870939,2026,Cordale Russell,WR,Concord,Mountain East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,0.0,24.0,6.0,,,,,
4871086,2026,Ja'Ryan Wallace,WR,Houston Christian,Southland,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,2.0,0.0,41.0,20.5,,,,,
4872623,2026,Carter Wyatt,LB,Elon,Coastal Athletic,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4876663,2026,Marquis Cooper,DB,Towson,Coastal Athletic,2.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4876849,2026,Joe Pronchick,OL,Glenville State,Mountain East,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4877088,2026,Jake Dalmado,LB,SE Louisiana,Southland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4877209,2026,Myion Hicks,RB,Northwestern State,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,0.0,-1.0,-0.5,2.0,5.0,0.0,6.0,3.0
4877249,2026,Nick Coates,DB,Chattanooga,Southern,0.0,0.0,0.0,2.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4877400,2026,Deondri Clark,DE,Mississippi Valley State,SWAC,0.0,0.0,0.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4877774,2026,Jamarien Dalton,WR,Elon,Coastal Athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3.0,1.0,42.0,14.0,,,,,
4878660,2026,Trevor Hardy,DB,Austin Peay,UAC,0.0,0.0,0.0,7.0,0.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4879514,2026,Christian Williams,S,Northwestern State,Southland,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4880840,2026,Jaydyn Johnson,LB,Towson,Coastal Athletic,0.0,0.0,0.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885443,2026,Robert Giaimo,RB,Lindenwood,OVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,0.0,15.0,3.8
4886088,2026,Rufus Toe,DE,Houston Christian,Southland,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4889821,2026,Zavione Wood,RB,Glenville State,Mountain East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,0.0,9.0,2.3
4891191,2026,Christian Anaya,WR,Western Illinois,OVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,5.0,0.0,88.0,17.6,,,,,
4892208,2026,Rafael Fasolino,LB,Long Island University,NEC,0.0,1.0,0.0,10.0,0.0,1.0,10.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4892974,2026,Jason Malbrue,TE,Nicholls,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,12.0,12.0,,,,,
4909264,2026,Ky Tayo,DT,Chattanooga,Southern,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4911835,2026,Jhamal Shelby Jr.,DB,Nicholls,Southland,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912198,2026,Canaan Williams,LB,Austin Peay,UAC,0.0,0.0,0.0,4.0,0.0,0.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912231,2026,Max Elkman,DL,SE Louisiana,Southland,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4917288,2026,Charles Kellom,RB,Eastern Illinois,OVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,9.0,9.0,19.0,88.0,3.0,171.0,9.0
4917362,2026,Trent Zappe,LB,Houston Christian,Southland,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4920128,2026,Kahlil Tate,DB,Austin Peay,UAC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4920196,2026,Javance Tupou'ata-Johnson,QB,North Dakota,MVFC,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,1.0,0.5,0.0,65.0,10.8,,,,,,,,,,,,,,,,,3.0,6.0,0.0,7.0,2.3
4921505,2026,Jayven Anderson,LB,Houston Christian,Southland,0.0,0.0,1.0,8.0,0.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4923032,2026,Giovanni Adopte,WR,Gardner-Webb,OVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,0.0,60.0,10.0,,,,,
4923292,2026,Jordan Jackson,DB,Gardner-Webb,OVC,1.0,0.0,0.0,2.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027555,2026,Cam Smith,DB,Youngstown State,MVFC,0.0,0.0,0.0,0.0,0.0,0.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5044349,2026,Mekhi Jenkins,RB,Ohio Dominican,Great Midwest Athletic,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,35.0,1.0,101.0,4.8
