batter,family,pitches,whiff,contact,slg,xwoba,exit_velo,zone_pct
457705,Breaking,126,0.46551724137931033,0.5344827586206897,0.13636363636363635,0.16675,79.47307692307692,0.4523809523809524
457705,Fastball,241,0.23636363636363636,0.7636363636363637,0.35185185185185186,0.28413058181818185,85.18860759493671,0.5477178423236515
457705,Offspeed,43,0.3888888888888889,0.6111111111111112,0.3333333333333333,0.08875000000000001,75.7909090909091,0.3953488372093023
467793,Fastball,91,0.21739130434782608,0.782608695652174,0.05,0.16759984615384618,84.80909090909088,0.45054945054945056
467793,Offspeed,48,0.25,0.75,0.4,0.32539971428571424,79.17500000000001,0.5
500743,Breaking,208,0.21428571428571427,0.7857142857142857,0.3829787234042553,0.3427284509803922,81.36612903225806,0.41346153846153844
500743,Fastball,434,0.10087719298245613,0.8991228070175439,0.47107438016528924,0.33361259836065577,84.53105263157896,0.5092165898617511
500743,Offspeed,106,0.3018867924528302,0.6981132075471699,0.22727272727272727,0.2058181818181818,75.16176470588236,0.3113207547169811
502671,Breaking,469,0.27040816326530615,0.7295918367346939,0.40217391304347827,0.2880010204081633,80.67122302158273,0.464818763326226
502671,Fastball,711,0.2803234501347709,0.7196765498652291,0.48314606741573035,0.3119671837837838,83.7875968992248,0.5246132208157525
502671,Offspeed,192,0.27058823529411763,0.7294117647058824,0.36363636363636365,0.31922114893617026,81.93859649122807,0.3541666666666667
506702,Breaking,41,0.21428571428571427,0.7857142857142857,0.0,0.08,77.69999999999999,0.4146341463414634
506702,Fastball,128,0.3116883116883117,0.6883116883116883,0.14705882352941177,0.1219032258064516,77.25,0.6015625
514888,Breaking,604,0.2895622895622896,0.7104377104377104,0.375,0.2219641408450704,75.5756345177665,0.38576158940397354
514888,Fastball,858,0.17603911980440098,0.823960880195599,0.4267241379310345,0.31326933596837947,82.73948220064725,0.5128205128205128
514888,Offspeed,200,0.25287356321839083,0.7471264367816092,0.23809523809523808,0.21784986363636366,78.91754385964913,0.335
516782,Breaking,176,0.32323232323232326,0.6767676767676767,0.3018867924528302,0.2399727358490566,80.39999999999999,0.5113636363636364
516782,Fastball,395,0.22,0.78,0.32051282051282054,0.31710427710843375,79.04383561643836,0.5341772151898734
516782,Offspeed,123,0.38461538461538464,0.6153846153846154,0.375,0.28543333333333337,80.14102564102564,0.3902439024390244
518595,Breaking,64,0.42424242424242425,0.5757575757575757,0.2857142857142857,0.2811996923076923,82.51176470588236,0.53125
518595,Fastball,161,0.26666666666666666,0.7333333333333334,0.21212121212121213,0.3299918333333333,84.17307692307692,0.5279503105590062
518595,Offspeed,41,0.44,0.56,0.21428571428571427,0.10192857142857145,81.57857142857142,0.21951219512195122
518692,Breaking,709,0.28753993610223644,0.7124600638977636,0.381294964028777,0.3570379271523179,82.0,0.4217207334273625
518692,Fastball,1276,0.19,0.81,0.5333333333333333,0.3900374936708861,83.1160984848485,0.5274294670846394
518692,Offspeed,345,0.17307692307692307,0.8269230769230769,0.35135135135135137,0.3324245205479452,86.22479338842976,0.3710144927536232
519317,Breaking,130,0.5074626865671642,0.4925373134328358,0.47368421052631576,0.3125561875,88.56785714285715,0.4
519317,Fastball,242,0.30097087378640774,0.6990291262135923,0.35714285714285715,0.3096144390243903,85.72388059701493,0.5206611570247934
519317,Offspeed,79,0.3157894736842105,0.6842105263157895,0.5,0.37190426086956524,91.18000000000002,0.4430379746835443
521692,Breaking,739,0.31958762886597936,0.6804123711340206,0.3076923076923077,0.23587200985221676,80.69761904761904,0.34100135317997293
521692,Fastball,944,0.2040072859744991,0.7959927140255009,0.4519230769230769,0.3855978755555556,83.89537712895377,0.486228813559322
521692,Offspeed,221,0.23648648648648649,0.7635135135135135,0.4583333333333333,0.23051460526315792,80.34571428571428,0.3665158371040724
542303,Breaking,381,0.41916167664670656,0.5808383233532934,0.2318840579710145,0.2142675294117647,82.02413793103447,0.4015748031496063
542303,Fastball,739,0.19936708860759494,0.8006329113924051,0.37209302325581395,0.34600610169491525,84.77268722466961,0.5385656292286874
542303,Offspeed,188,0.4634146341463415,0.5365853658536586,0.19230769230769232,0.2602755172413793,81.935,0.2712765957446808
543309,Breaking,315,0.38345864661654133,0.6165413533834587,0.13432835820895522,0.21109768656716418,81.72222222222223,0.4158730158730159
543309,Fastball,424,0.15544041450777202,0.844559585492228,0.5510204081632653,0.3454343398058253,83.92,0.5683962264150944
543309,Offspeed,81,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.323274625,83.91111111111111,0.30864197530864196
543510,Breaking,181,0.41904761904761906,0.5809523809523809,0.42592592592592593,0.20885401960784314,83.93793103448276,0.40331491712707185
543510,Fastball,261,0.15789473684210525,0.8421052631578947,0.5263157894736842,0.3760735438596491,83.86404494382023,0.5862068965517241
543510,Offspeed,80,0.32608695652173914,0.6739130434782609,0.3684210526315789,0.13645870588235295,76.28846153846153,0.2875
543760,Breaking,647,0.32051282051282054,0.6794871794871795,0.1568627450980392,0.2082136624203822,76.11755319148938,0.4559505409582689
543760,Fastball,877,0.171875,0.828125,0.5023474178403756,0.36138928947368426,84.49536231884058,0.5781071835803877
543760,Offspeed,180,0.3023255813953488,0.6976744186046512,0.375,0.3598841777777778,81.711320754717,0.36666666666666664
543807,Breaking,532,0.291497975708502,0.708502024291498,0.4330708661417323,0.24865336842105262,80.49640718562874,0.39473684210526316
543807,Fastball,1008,0.17148760330578514,0.8285123966942148,0.4460093896713615,0.3390747586206897,82.49356568364611,0.5466269841269841
543807,Offspeed,224,0.3333333333333333,0.6666666666666667,0.3191489361702128,0.27676370588235294,81.73870967741935,0.38839285714285715
543877,Breaking,289,0.3023255813953488,0.6976744186046512,0.19672131147540983,0.1706327213114754,75.87727272727274,0.356401384083045
543877,Fastball,614,0.15593220338983052,0.8440677966101695,0.4144736842105263,0.27175833962264156,81.53404255319148,0.5407166123778502
543877,Offspeed,68,0.17647058823529413,0.8235294117647058,0.15384615384615385,0.19254257142857142,78.03200000000001,0.29411764705882354
545121,Breaking,451,0.21100917431192662,0.7889908256880733,0.40625,0.2727864456521739,81.00065789473685,0.44124168514412415
545121,Fastball,781,0.10026385224274406,0.899736147757256,0.4583333333333333,0.33365340528634363,82.83518518518518,0.5249679897567221
545121,Offspeed,276,0.16352201257861634,0.8364779874213837,0.32098765432098764,0.28837312195121956,83.32727272727273,0.37318840579710144
545341,Breaking,211,0.3711340206185567,0.6288659793814433,0.5740740740740741,0.330343948275862,87.36101694915253,0.3981042654028436
545341,Fastball,476,0.1589958158995816,0.8410041841004184,0.4864864864864865,0.3266342476190476,83.7279569892473,0.5546218487394958
545341,Offspeed,135,0.36363636363636365,0.6363636363636364,0.6382978723404256,0.38335,86.78823529411764,0.37777777777777777
545361,Breaking,559,0.35051546391752575,0.6494845360824743,0.38144329896907214,0.3053324859813084,78.47435897435898,0.4490161001788909
545361,Fastball,1441,0.18825561312607944,0.8117443868739206,0.4666666666666667,0.4150415382262997,82.97906976744186,0.4906315058986815
545361,Offspeed,236,0.31666666666666665,0.6833333333333333,0.39622641509433965,0.3183997894736842,81.3830985915493,0.3728813559322034
547180,Breaking,843,0.3895216400911162,0.6104783599088839,0.47337278106508873,0.36726405025125625,82.33319502074689,0.3736654804270463
547180,Fastball,1058,0.22718052738336714,0.7728194726166329,0.5761904761904761,0.43394977011494257,85.59802816901409,0.4839319470699433
547180,Offspeed,353,0.2833333333333333,0.7166666666666667,0.35555555555555557,0.33399939,82.38225806451612,0.3371104815864023
553869,Breaking,215,0.36363636363636365,0.6363636363636364,0.4,0.2632131147540983,79.49333333333334,0.386046511627907
553869,Fastball,394,0.23444976076555024,0.7655502392344498,0.3924050632911392,0.27722509523809524,82.34178082191781,0.5609137055837563
553869,Offspeed,65,0.2727272727272727,0.7272727272727273,0.3448275862068966,0.2666551724137931,85.61290322580645,0.4307692307692308
553993,Breaking,534,0.5061224489795918,0.4938775510204082,0.3333333333333333,0.24450051968503939,82.74454545454545,0.36891385767790263
553993,Fastball,986,0.24943820224719102,0.750561797752809,0.46411483253588515,0.3240239956709957,84.36193771626297,0.537525354969574
553993,Offspeed,176,0.4166666666666667,0.5833333333333333,0.2571428571428571,0.16358367567567567,80.26521739130435,0.36363636363636365
571448,Breaking,704,0.31290322580645163,0.6870967741935483,0.27388535031847133,0.2347461588235294,79.20346534653466,0.421875
571448,Fastball,1080,0.15337423312883436,0.8466257668711656,0.5814977973568282,0.34462658232931725,83.79949367088608,0.5018518518518519
571448,Offspeed,216,0.34513274336283184,0.6548672566371682,0.39622641509433965,0.2495289649122807,80.78285714285714,0.3611111111111111
571657,Fastball,83,0.4444444444444444,0.5555555555555556,0.16666666666666666,0.18342857142857144,79.65882352941175,0.4819277108433735
571771,Fastball,68,0.15555555555555556,0.8444444444444444,0.42105263157894735,0.28463990000000006,83.49166666666666,0.5294117647058824
571912,Fastball,71,0.2727272727272727,0.7272727272727273,0.2,0.127549875,74.92173913043477,0.5633802816901409
571970,Breaking,668,0.3607843137254902,0.6392156862745098,0.44537815126050423,0.2933179461538462,82.78108108108108,0.4655688622754491
571970,Fastball,871,0.1925925925925926,0.8074074074074074,0.640625,0.43015446976744187,85.5871382636656,0.5200918484500574
571970,Offspeed,380,0.400990099009901,0.599009900990099,0.3469387755102041,0.2665902307692308,80.29137931034482,0.41578947368421054
572233,Breaking,726,0.3850574712643678,0.6149425287356323,0.4880952380952381,0.2658366023391813,83.3970297029703,0.39118457300275483
572233,Fastball,1159,0.2376237623762376,0.7623762376237624,0.38976377952755903,0.32086532179930793,83.32629107981221,0.4969801553062985
572233,Offspeed,202,0.3431372549019608,0.6568627450980392,0.5094339622641509,0.3144332222222222,85.11904761904762,0.42574257425742573
573262,Breaking,368,0.2702702702702703,0.7297297297297297,0.43209876543209874,0.28739665168539325,83.79899999999999,0.46467391304347827
573262,Fastball,870,0.23295454545454544,0.7670454545454546,0.40236686390532544,0.32046977202072535,85.14541832669323,0.5310344827586206
573262,Offspeed,178,0.20689655172413793,0.7931034482758621,0.3695652173913043,0.3020725454545455,83.59848484848484,0.398876404494382
575929,Breaking,586,0.40145985401459855,0.5985401459854014,0.40476190476190477,0.3137384503816794,81.58986486486486,0.33276450511945393
575929,Fastball,1095,0.23540489642184556,0.7645951035781544,0.5150214592274678,0.4120366027874564,82.67034120734908,0.5168949771689497
575929,Offspeed,295,0.39375,0.60625,0.6956521739130435,0.3589125833333333,86.73333333333333,0.38305084745762713
592206,Breaking,189,0.41284403669724773,0.5871559633027523,0.4444444444444444,0.27264646511627905,79.435593220339,0.42857142857142855
592206,Fastball,252,0.24675324675324675,0.7532467532467533,0.3283582089552239,0.3217805483870968,83.5247619047619,0.5119047619047619
592206,Offspeed,79,0.41025641025641024,0.5897435897435898,0.058823529411764705,0.176125,79.53636363636363,0.31645569620253167
592450,Breaking,375,0.3614457831325301,0.6385542168674698,0.47560975609756095,0.3750361590909091,87.67171717171718,0.43733333333333335
592450,Fastball,574,0.2575107296137339,0.7424892703862661,0.6185567010309279,0.46065484745762714,85.520625,0.48257839721254353
592450,Offspeed,206,0.44680851063829785,0.5531914893617021,0.4883720930232558,0.3738247083333333,84.95208333333333,0.3737864077669903
592518,Breaking,707,0.3424242424242424,0.6575757575757576,0.2847682119205298,0.23006942771084338,79.902427184466,0.4158415841584158
592518,Fastball,1253,0.20067453625632378,0.7993254637436762,0.5,0.40340623300970874,86.36882217090069,0.529928172386273
592518,Offspeed,252,0.31007751937984496,0.689922480620155,0.23809523809523808,0.26176551428571426,80.30987654320988,0.35714285714285715
592626,Breaking,496,0.3440366972477064,0.6559633027522935,0.4117647058823529,0.3007098532110092,85.23893129770993,0.4717741935483871
592626,Fastball,846,0.2900763358778626,0.7099236641221374,0.5813953488372093,0.3998776479591837,87.17421875000001,0.5212765957446809
592626,Offspeed,310,0.30666666666666664,0.6933333333333334,0.3076923076923077,0.2744673253012048,83.59899999999999,0.3967741935483871
