player_id,name,pa,brl_pa,brl_pct,hardhit,avg_ev,slg,xslg,xiso,woba,xwoba
607043,Brandon Nimmo,462,7.8,11.3,51.1,92.0,0.445,0.499,0.20800000000000002,0.343,0.371
592518,Manny Machado,480,7.1,10.7,44.8,90.7,0.422,0.43,0.192,0.309,0.327
621493,Taylor Ward,516,3.3,5.4,38.8,89.0,0.343,0.374,0.125,0.332,0.343
691023,Jordan Walker,475,8.6,13.0,48.1,93.1,0.491,0.482,0.20499999999999996,0.36,0.355
682998,Corbin Carroll,486,7.8,12.1,49.4,91.8,0.47,0.444,0.194,0.349,0.345
547180,Bryce Harper,489,7.4,11.5,44.9,90.2,0.5,0.511,0.235,0.37,0.389
605137,Josh Bell,446,7.0,9.9,42.6,90.1,0.413,0.433,0.188,0.315,0.321
702332,Caleb Durbin,403,2.0,2.6,27.7,84.3,0.408,0.328,0.09000000000000002,0.322,0.29
668930,Brice Turang,494,5.1,8.0,42.1,90.5,0.452,0.439,0.183,0.354,0.345
677951,Bobby Witt Jr.,427,8.9,12.3,52.6,92.9,0.457,0.519,0.21100000000000002,0.352,0.387
800050,Chase DeLauter,414,4.8,6.5,46.0,91.3,0.44,0.431,0.15599999999999997,0.349,0.348
624413,Pete Alonso,498,8.0,12.9,55.2,94.0,0.458,0.513,0.239,0.348,0.378
646240,Rafael Devers,488,7.0,11.0,51.0,92.4,0.474,0.449,0.21400000000000002,0.34,0.328
666018,Jonathan Aranda,484,6.4,10.0,45.6,91.0,0.432,0.451,0.186,0.354,0.356
681082,Bryson Stott,425,4.9,6.8,40.3,89.6,0.417,0.412,0.14099999999999996,0.327,0.331
669477,Casey Schmitt,409,9.3,12.3,44.8,89.9,0.483,0.512,0.22400000000000003,0.335,0.355
805367,Chase Meidroth,466,3.2,4.9,35.1,88.1,0.405,0.338,0.10400000000000001,0.336,0.297
641355,Cody Bellinger,434,4.4,6.1,37.3,89.1,0.42,0.419,0.14199999999999996,0.339,0.35
671277,Luis García Jr.,386,9.8,12.3,45.5,91.5,0.56,0.509,0.21900000000000003,0.37,0.355
693307,Dillon Dingler,448,8.0,11.7,45.0,89.3,0.536,0.52,0.23200000000000004,0.376,0.376
668804,Bryan Reynolds,509,6.7,11.1,46.7,90.9,0.441,0.432,0.185,0.36,0.351
572233,Christian Walker,464,6.5,9.8,42.5,89.4,0.46,0.391,0.165,0.335,0.304
691718,Pete Crow-Armstrong,511,7.2,12.2,49.7,90.4,0.55,0.475,0.21799999999999997,0.4,0.365
668227,Randy Arozarena,462,5.2,7.9,42.8,91.1,0.456,0.424,0.15799999999999997,0.368,0.352
593428,Xander Bogaerts,439,3.9,5.6,39.6,88.3,0.327,0.374,0.125,0.295,0.322
663656,Kyle Tucker,445,4.5,6.6,38.6,89.0,0.379,0.398,0.135,0.321,0.338
807712,Luke Keaschall,419,2.4,3.3,28.8,84.7,0.36,0.344,0.10699999999999998,0.322,0.305
664040,Brandon Lowe,479,7.9,12.6,45.5,91.1,0.487,0.45,0.20400000000000001,0.347,0.334
694384,Nolan Schanuel,396,1.8,2.3,32.6,87.4,0.384,0.38,0.09899999999999998,0.324,0.327
691026,Masyn Winn,435,2.1,3.0,35.0,87.9,0.317,0.324,0.07500000000000001,0.288,0.3
669016,Brandon Marsh,434,6.0,8.7,44.5,89.6,0.45,0.426,0.16099999999999998,0.33,0.313
660271,Shohei Ohtani,483,10.4,16.7,52.8,93.5,0.554,0.581,0.27999999999999997,0.399,0.413
642715,Willy Adames,462,5.4,8.4,38.6,87.5,0.408,0.38,0.162,0.3,0.29
545121,Ildemaro Vargas,354,2.8,3.4,35.5,87.7,0.413,0.39,0.10300000000000004,0.318,0.316
664983,Jake McCarthy,385,3.6,4.7,26.0,84.9,0.49,0.391,0.126,0.352,0.308
700250,Ben Rice,470,9.6,15.4,47.8,92.0,0.55,0.511,0.245,0.384,0.375
691016,Tyler Soderstrom,427,6.3,9.2,46.2,90.6,0.46,0.415,0.16199999999999998,0.346,0.333
680776,Jarren Duran,455,6.4,9.9,38.7,89.6,0.354,0.384,0.14900000000000002,0.268,0.298
695578,James Wood,535,11.2,20.8,57.6,95.1,0.535,0.585,0.30999999999999994,0.395,0.419
571448,Nolan Arenado,422,5.0,7.3,32.8,85.2,0.424,0.362,0.127,0.326,0.302
682985,Riley Greene,477,9.0,14.9,49.0,90.8,0.459,0.485,0.22599999999999998,0.358,0.365
669394,Jake Burger,441,7.3,11.1,47.0,90.2,0.421,0.396,0.167,0.313,0.299
673962,Josh Jung,396,4.5,6.3,48.3,90.6,0.441,0.432,0.14600000000000002,0.352,0.347
621020,Dansby Swanson,430,4.9,7.3,41.3,89.5,0.406,0.382,0.163,0.306,0.299
665019,Kody Clemens,406,8.1,11.6,46.0,92.5,0.468,0.436,0.19,0.324,0.322
687263,Zach Neto,502,7.0,12.3,40.5,89.5,0.426,0.4,0.198,0.325,0.305
669127,Shea Langeliers,416,10.1,14.9,45.6,91.8,0.497,0.513,0.245,0.357,0.363
677649,Ezequiel Duran,403,4.5,6.5,35.8,88.7,0.459,0.388,0.133,0.34,0.309
514888,Jose Altuve,391,3.8,5.4,32.3,85.6,0.398,0.338,0.11300000000000002,0.308,0.278
701358,Cam Smith,419,7.2,10.8,44.4,89.4,0.372,0.43,0.185,0.292,0.326
665926,Andrés Giménez,369,2.7,3.6,23.5,85.9,0.353,0.321,0.091,0.278,0.268
643446,Jeff McNeil,346,0.9,1.1,31.8,86.3,0.33,0.355,0.08299999999999996,0.285,0.302
656811,Ryan O'Hearn,398,5.0,7.2,43.5,89.3,0.454,0.41,0.15599999999999997,0.343,0.321
805300,Jakob Marsee,438,2.3,3.6,33.7,87.1,0.302,0.313,0.094,0.288,0.3
