player_id,name,pa,era,xera,woba,xwoba
669438,Mason Englert,157,4.54,5.8,0.369,0.365
662253,Andrés Muñoz,157,3.86,3.35,0.272,0.285
621381,Matt Strahm,156,6.75,3.96,0.365,0.308
670059,Colin Holderman,156,1.8,3.02,0.206,0.271
668390,Cole Winn,156,6.11,4.93,0.341,0.34
607455,Anthony Banda,156,4.46,4.45,0.334,0.325
606996,Kyle Hart,156,5.21,3.63,0.3,0.296
641329,Bryan Baker,155,1.56,2.67,0.213,0.255
596001,Jakob Junis,155,2.84,3.63,0.26,0.296
622554,Seranthony Domínguez,155,4.33,4.86,0.315,0.338
680767,Victor Vodnik,155,5.56,4.45,0.36,0.325
641755,Tyler Kinley,155,4.34,3.21,0.329,0.279
702474,Mike Paredes,154,4.72,5.23,0.352,0.349
605130,Scott Barlow,153,6.48,5.55,0.341,0.358
676571,PJ Poulin,153,2.7,5.37,0.302,0.353
667463,John King,153,2.43,3.35,0.227,0.285
681895,Evan Sisk,152,2.23,2.88,0.303,0.265
687473,Ryan Gusto,151,4.5,4.33,0.303,0.321
666142,Cole Ragans,151,4.84,5.06,0.354,0.344
691951,Sam Aldegheri,151,5.08,5.44,0.319,0.355
571948,Hoby Milner,149,3.53,5.3,0.31,0.351
623149,Paul Sewald,149,4.58,3.74,0.293,0.3
681911,Alex Vesia,149,2.55,2.71,0.23,0.257
701656,Logan Henderson,148,3.05,2.86,0.273,0.264
681402,Gus Varland,148,6.25,6.68,0.399,0.387
607192,Tyler Glasnow,148,2.72,2.6,0.234,0.252
683769,Hunter Gaddis,147,2.94,4.33,0.3,0.321
676755,Isaac Mattson,147,4.91,6.11,0.337,0.373
628452,Raisel Iglesias,147,2.43,2.97,0.275,0.269
663362,Matt Waldron,147,7.16,3.9,0.393,0.306
621383,Tanner Banks,146,7.14,4.39,0.422,0.323
542888,Shawn Armstrong,146,4.91,3.98,0.324,0.309
663992,Richard Lovelady,146,3.86,5.66,0.37,0.361
676477,Garrett Whitlock,145,2.13,2.84,0.239,0.263
682120,Tim Herrin,144,3.24,4.21,0.313,0.317
643410,Mark Leiter Jr.,144,4.28,4.18,0.303,0.316
663767,Chase Shugart,144,5.08,4.39,0.346,0.323
669165,Kyle Hurt,143,4.59,3.76,0.301,0.301
687606,Paxton Schultz,143,5.87,4.76,0.362,0.335
680742,Jonathan Bowlan,142,2.78,2.5,0.259,0.247
676775,Keaton Winn,142,3.38,3.68,0.274,0.298
664126,Pete Fairbanks,142,7.18,4.89,0.367,0.339
579328,Yusei Kikuchi,142,5.81,4.93,0.346,0.34
547973,Aroldis Chapman,142,1.87,3.0,0.274,0.27
685126,Brandon Eisert,141,6.75,3.71,0.348,0.299
669622,Anthony Bender,140,2.62,2.65,0.224,0.254
656234,Jake Bird,139,5.93,4.96,0.369,0.341
666974,Yennier Cano,139,2.34,3.11,0.235,0.275
608337,Lucas Giolito,138,5.16,5.55,0.369,0.358
676979,Garrett Crochet,138,6.3,5.06,0.358,0.344
701519,Travis Adams,137,5.4,4.33,0.329,0.321
820862,José Fermin,136,2.75,3.98,0.271,0.309
690925,Clayton Beeter,136,3.69,3.98,0.297,0.309
664991,Grant Wolfram,136,4.4,3.33,0.326,0.284
664208,Phil Maton,136,6.18,6.77,0.398,0.389
519141,Drew Pomeranz,135,5.59,5.3,0.368,0.351
641745,Brad Keller,135,4.02,3.33,0.309,0.284
663574,Tony Santillan,134,5.23,5.19,0.354,0.348
661395,Jhoan Duran,134,1.29,2.19,0.219,0.231
592094,Jason Adam,134,2.5,3.43,0.308,0.288
646241,Enmanuel De Jesus,134,3.98,3.82,0.281,0.303
683175,Connor Phillips,133,5.53,6.27,0.346,0.377
669062,Erik Miller,133,2.97,3.25,0.295,0.281
552640,Andrew Kittredge,133,3.64,3.93,0.32,0.307
622088,Tejay Antone,132,2.25,3.21,0.262,0.279
572955,Pierce Johnson,130,5.1,6.19,0.34,0.375
